,0
今後のDX展望_svd1,2010.0115950107574
財務総合スコア,630.5304893255234
te_業界,546.1837168931961
姿勢_抑制,316.61804807186127
逆風スコア,316.48817586898804
売上高営業利益率,312.47872149944305
企業概要_svd2,263.2370320558548
ROA,251.71953582763672
ROE,187.11012017726898
満足度軸,181.8240407705307
今後のDX展望_svd2,140.754150390625
自己資本比率_業界内z,138.77974021434784
売上高経常利益率,128.29791975021362
無形固定資産変動(ソフトウェア関連),124.06039071083069
アンケート７,113.09344005584717
当期純利益,107.8795508146286
減価償却費率,104.43372982740402
有利子負債比率,101.1319123506546
ROA_業界内順位,95.96853053569794
今後のDX展望_svd28,92.07244157791138
従業員数,91.07266187667847
組織図_svd23,87.54029071331024
営業CF,85.83977925777435
今後のDX展望_svd7,80.59917837381363
今後のDX展望_svd4,76.84600901603699
姿勢差,73.50378209352493
組織図_svd2,73.1027113199234
投資CF,71.41134071350098
組織図_svd13,68.56402945518494
企業概要_svd9,67.63269996643066
企業概要_svd10,66.28366339206696
企業概要_svd31,64.40480923652649
アンケート８,64.25536566972733
今後のDX展望_svd35,63.37093359231949
アンケート１１,62.575557351112366
組織図_svd34,62.55546975135803
組織図_svd12,61.68714052438736
売上高経常利益率_業界内順位,60.53102898597717
今後のDX展望_svd38,60.51271015405655
組織図_svd30,60.16899013519287
アンケート２,60.005441069602966
フリーCF,59.885940074920654
企業概要_svd33,59.53729999065399
組織図_svd0,59.14195030927658
組織図_svd39,57.09778928756714
今後のDX展望_svd12,56.65429997444153
log従業員数_業界内z,56.15649753808975
今後のDX展望_svd29,53.694997668266296
log従業員数_業界内順位,52.35214078426361
ソフト投資対有形比,51.55488985776901
自己資本比率,50.662800312042236
投資CF対売上,50.477630734443665
組織図_svd27,48.59301054477692
負債比率,47.89760971069336
組織図_svd10,46.188220620155334
ROA_業界内z,46.137469947338104
企業概要_svd3,45.708008766174316
組織図_svd28,45.02026104927063
今後のDX展望_svd5,44.28693324327469
組織図_svd11,44.2696807384491
姿勢差_業界内順位,43.55034464597702
企業概要_svd8,43.376139879226685
今後のDX展望_svd8,43.214149475097656
今後のDX展望_svd25,42.418818950653076
今後のDX展望_svd39,41.66674983501434
企業概要_svd32,40.17569762468338
今後のDX展望_svd9,39.777299880981445
今後のDX展望_svd11,37.452098071575165
経常利益,37.317479729652405
今後のDX展望_svd27,37.04152023792267
テキスト財務乖離,36.100040435791016
一人当たり営業利益,35.31093955039978
企業概要_svd26,34.53345000743866
長期借入金,34.027780055999756
組織図_svd20,33.70864009857178
今後のDX展望_svd17,33.676715314388275
組織図_svd18,33.291379570961
アンケート４,32.44151973724365
DX部署フラグ,32.322630167007446
組織図_svd36,32.23505902290344
有形固定資産変動,31.929369926452637
企業概要_svd7,30.93255090713501
今後のDX展望_svd31,30.356709837913513
姿勢差_業界内z,28.825257271528244
有形固定資産変動率,28.390003740787506
企業概要_svd4,28.17715710401535
工場数,26.472530126571655
企業概要_svd13,25.156779885292053
組織図_svd22,24.966180324554443
今後のDX展望_svd36,24.616790652275085
戦略整備軸,24.221548676490784
今後のDX展望_svd24,24.168019771575928
売上高経常利益率_業界内z,24.12157964706421
企業概要_svd12,24.06558918952942
今後のDX展望_svd21,24.00047332048416
今後のDX展望_svd13,22.852229833602905
今後のDX展望_svd10,22.8171204328537
有利子負債比率_業界内z,22.441659450531006
組織図_svd33,22.204179883003235
組織図_svd8,22.125419974327087
流動資産比率,22.112969875335693
企業概要_svd27,21.414960265159607
今後のDX展望_svd32,21.097660064697266
組織図_svd6,20.90109884738922
組織図_svd31,20.551939964294434
企業概要_svd11,20.48890972137451
log従業員数,20.166229963302612
有利子負債比率_業界内順位,20.11003041267395
企業概要_svd28,19.18237018585205
組織図_svd19,19.17606008052826
今後のDX展望_svd3,18.986509799957275
企業概要_svd23,18.763842046260834
企業概要_svd22,17.991159915924072
無形固定資産変動率,17.778327703475952
企業概要_svd20,17.74478006362915
今後のDX展望_svd33,17.157819986343384
企業概要_svd18,16.770699501037598
テキスト積極度順位,16.558730125427246
自己資本比率_業界内順位,16.126357972621918
企業概要_svd14,16.115270018577576
今後のDX展望_svd34,15.931349992752075
企業概要_svd35,15.626427292823792
今後のDX展望_svd20,15.251499652862549
組織図_svd21,14.646100044250488
企業概要_svd15,14.455405175685883
今後のDX展望_svd16,14.187649726867676
今後のDX展望_svd0,14.165280103683472
組織図_svd16,13.903718769550323
企業概要_svd39,13.666205167770386
企業概要_svd30,13.224967420101166
企業概要_svd24,13.121870279312134
企業概要_svd6,12.435490012168884
組織図_svd15,12.297999858856201
負債,12.139099597930908
kw_人材育成,11.981399536132812
企業概要_svd34,11.823009967803955
営業利益,11.806610226631165
企業概要_svd36,11.636499881744385
純資産,11.617500305175781
組織図_svd24,11.615399956703186
組織図_svd1,11.505900382995605
企業概要_svd29,11.320701122283936
組織図_svd4,11.184029936790466
組織図_svd17,11.004210114479065
既存ツール満足度,10.956270217895508
企業概要_svd21,10.680220007896423
今後のDX展望_svd19,10.600820302963257
組織図_svd37,9.835299730300903
今後のDX展望_svd22,9.52355295419693
満足_財務優良,9.275930166244507
事業所数,8.771159887313843
事業所あたり従業員数,8.28184974193573
今後のDX展望_svd6,7.754819869995117
運転資本変動,7.374269962310791
企業概要_svd16,7.077240228652954
姿勢_積極,6.795849800109863
企業概要_svd37,6.761367917060852
今後のDX展望_svd15,6.647170066833496
組織図_svd14,6.36294811964035
アンケート３,6.276390075683594
固定資産,6.142889976501465
アンケート９,5.872030019760132
組織図_svd5,5.38795804977417
企業概要_svd17,5.257990121841431
企業概要_svd1,4.8713297843933105
一人当たり売上,4.61939013004303
組織図_svd9,4.430449962615967
組織図_svd32,4.345889925956726
組織図_svd38,4.1508501172065735
企業概要_svd5,4.0904998779296875
総資産,3.9638400077819824
店舗数,3.8236000537872314
アンケート１０,3.7781620621681213
組織図_svd25,3.4209299087524414
今後のDX展望_svd26,3.3576900959014893
今後のDX展望_svd14,3.19284588098526
今後のDX展望_svd30,2.992609977722168
組織図_svd35,2.9757800102233887
組織図_svd29,2.847409963607788
アンケート５,2.7961599826812744
企業概要_svd25,2.782399892807007
企業概要_svd0,2.129300117492676
抵抗高フラグ,2.04082989692688
特徴,2.019860029220581
今後のDX展望_svd37,1.9902999997138977
